id;time_stamp;action;user;description
1;2020-11-01T18:47:34;UPDATE;Fantastic Metal Sausages seamless;Technician
2;2020-11-01T15:25:34;UPDATE;Refined Steel Soap Granite Checking Account;Expanded AI
3;2020-11-01T20:22:44;CREATE;Configurable Oregon;approach compressing Buckinghamshire
4;2020-11-01T16:25:38;CREATE;Money Market Account intuitive;Distributed
5;2020-11-01T15:59:53;CREATE;Chicken Electronics;orchid bypassing ivory
6;2020-11-01T16:27:39;CREATE;Steel;Intelligent Metal Cheese Jewelery Avon
7;2020-11-01T11:06:31;UPDATE;District gold Netherlands Antillian Guilder;hard drive indigo
8;2020-11-01T20:31:18;CREATE;Nebraska Mouse Georgia;connecting
9;2020-11-01T17:04:56;CREATE;initiatives orchid;application
10;2020-11-01T16:00:34;DELETE;RSS Cotton;Jewelery
