id;type;message;time_stamp;status
1;EMAIL;Jewelery;2020-11-01T10:43:32;UNSEEN
2;EMAIL;next-generation viral Tasty Wooden Towels;2020-11-01T13:12:39;UNSEEN
3;EMAIL;partnerships Forges Specialist;2020-11-01T05:09:40;SEEN
4;EMAIL;compressing Unbranded Wooden Salad;2020-11-01T08:28:48;UNSEEN
5;EMAIL;Borders;2020-11-01T18:42:58;UNSEEN
6;EMAIL;Berkshire auxiliary Ameliorated;2020-11-01T09:08:53;SEEN
7;EMAIL;Skyway Licensed Metal Table;2020-11-01T13:07:17;UNSEEN
8;EMAIL;Chief Money Market Account;2020-11-01T07:40:44;SEEN
9;APP;Granite;2020-11-01T11:16:00;SEEN
10;APP;Utah Chips Avon;2020-11-01T07:58:20;SEEN
