id;time_stamp;message;user;rating
1;2020-11-01T08:56:46;mindshare Team-oriented Intranet;efficient parallelism;38646
2;2020-11-01T13:47:57;Credit Card Account Handcrafted Soft Chicken virtual;interfaces Home Loan Account;64866
3;2020-11-01T16:52:55;Niger Beauty;programming Bacon Organized;67407
4;2020-11-01T09:24:27;Locks Garden;Berkshire;14007
5;2020-11-01T22:55:24;wireless;methodology pixel;9778
6;2020-11-01T12:25:38;markets Greens Product;Strategist Argentine Peso;3382
7;2020-11-01T05:54:30;payment Avon;Avon bluetooth;70894
8;2020-11-01T15:24:19;deliver;Overpass;18598
9;2020-11-01T15:58:56;Dynamic SMTP;Republic of Korea;60048
10;2020-11-01T17:43:02;Czech Koruna;parallelism parse;98361
